name;image_url;description;link
Thermomix;https://www.vorwerk.cz/_images/preview/aisplit-img-th/img-thermomix-stage-tm6.jpg;Thermomix je novodobá kulinářská technologie, která v sobě skrývá spoustu funkcí, jako je mixování, vaření v páře, hněte, váží, míchá, ohřívá, mele, restuje, mísí, seká, emulguje, karamelizuje, fermentuje, šlehá, pomalu vaří, má v sobě varnou konvici,vaření Sous-vide dokonce i předmývá. Obsahuje v sobě aplikaci Cookidoo, díky které už nebudete muset přemýšlet, co uvaříte.;https://www.vorwerk.cz/thermomix-tm6
Dárková svatební bedna + Páčidlo;https://manboxeo.cz/media/thumbs/mb-df/products-photos/71/4455-svatebni-bedna.4f6.jpg.0e016.webp;Svatba je důležitým okamžikem v životě každého páru, proto si zaslouží netradiční dárek. Darujte novomanželům dřevěnou svatební bednu a garantujeme vám, že neuděláte krok vedle. Bedna Manboxeo se svatebním motivem obsahuje pokladničku a přihrádku pro dárek, který pro ně máte. Tato bedna není zatlučená, můžete tedy dovnitř dát cokoliv, co vás jen napadne. Svatební den je den, kdy novomanželé dělají všechno společně, společné krájení dortu, společné otevírání svatební bedny! Dopřejte jim tu radost.;https://manboxeo.cz/eshop/svatebni-bedna?gclid=CjwKCAiAl9efBhAkEiwA4TorikYRTsFUIbv-8R6yXXu82L-2cvAqC4dVPg6ZQHgC6WudbTseRAzXsxoCWc8QAvD_BwE#full-description
Vinotéka Guzzanti GZ 1226;https://im9.cz/iR/importprodukt-orig/d08/d08f4e2d02e5fc2a38a90e61d25c074f--mm2000x2000.jpg;Prosklená vinotéka Guzzanti GZ 1226 s termoelektrickým chladicím systémem bez kompresoru se může pochlubit velmi nízkou hlučností, LED displejem s intuitivním ovládáním i vnitřním modrým LED osvětlením. Přehled o teplotě máte díky termostatu s digitálním ukazatelem teploty. Dvířka jsou vytvořena z temperovaného tvrzeného zrcadlového skla, zatímco zadní stěna je hladká. Zařízení se výborně se hodí do hotelů, penzionů i kanceláře.;https://vitriny-vinoteky.heureka.cz/guzzanti-gz-1226/#prehled/
Kávovar Espresso DeLonghi Eletta Cappuccino;https://www.datart.cz/foto/800/0/2/0/product_4348020.jpg;automatický kávovar • připravíte espresso, cappuccino, kávu, long, latte, macchiato, mléko • příkon 1 450 W • tlak 15 barů • 2l nádržka na vodu • 380g zásobník na kávu • integrovaný mlýnek • 13 nastavení hrubosti mletí • nádoba na mléko • parní tryska • vhodné pro zrnkovou i mletou kávu • kovový panel s dvouřádkovým displejem • příprava 2 šálků najednou • odnímatelná spařovací jednotka • mřížku odkapávače lze čistit ve dřezu;https://www.datart.cz/espresso-delonghi-eletta-cappuccino-evo-ecam-46-860-b.html?gclid=CjwKCAiAl9efBhAkEiwA4Toriq-il0vIFCvh0eCeJvGbp6gKI1oSu9lJYBEa0nFSGAo6Vn0CezOw8RoCgRgQAvD_BwE#moreDescription
Robotický vysavač iRobot Roomba i7+ grey WiFi;https://static.roboticky-vysavac.cz/images/8700/foto_8710.jpg?_gl=1*1aib9n1*_ga*ODE0NzQ0NTA1LjE2NzcwODQ4NzA.*_ga_KZWQ7CFJEW*MTY3NzA4NzkyNC4yLjAuMTY3NzA4NzkyOC41Ni4wLjA.;S nejmodernějším vysavačem iRobot Roomba i7 vstoupí do vaší domácnosti vrchol současné robotiky. Díky unikátnímu systému navigace iAdapt 3.0 s inteligentním mapováním Imprint se dokonale zorientuje v prostoru a zvolí vždy nejlepší techniku úklidu. Roomba i7 tak dokáže uklidit jakkoli velké prostory. Přelomovým milníkem značky iRobot je pak geniální funkce automatického vysypávání sběrného koše.;https://www.roboticky-vysavac.cz/irobot-roomba-i7-7558?gclid=CjwKCAiAl9efBhAkEiwA4Torit8Wo97xjnS9DySpGiuf0srsMvORle2rvrCjLCEMadgdRVXs4sjD9BoCPaMQAvD_BwE
Robotický mop iRobot Braava Jet m6;https://www.irobot.cz/app/uploads/2019/12/m6.png;Robotický mop disponuje funkcí Imprint™ Link, která umožňuje komunikaci mezi robotickými domácími pomocníky. To znamená, že po skončení vysávání odešle robotický vysavač Roomba série i informaci o proběhlém úklidu a mop Braava vyrazí vytřít tam, kde je potřeba. Vy se tak už vůbec nemusíte starat o úklid vašich podlah. V česky lokalizované aplikaci iRobot HOME zvolíte kdy a kde má robotický vysavač uklízet. On už sám předá zprávu robotickému mopu, že nastal jeho čas. Vy přijdete domů, kde je dokonale vysáto a v prostorách s tvrdou podlahou i vytřeno.;https://www.irobot.cz/aktualita/novy-roboticky-mop-irobot-braava-jet-m6/
Soundbar;https://cdn.alza.cz/Foto/LegendFoto/photos/WR623_1_1.jpg;Dopřejte si bohatý a hutný zvuk při sledování toho nejlepšího obsahu? Pořízením 2.1kanálového soundbaru Samsung HW-B450 teprve uslyšíte, co to znamená, mít doma parádní zvuk. Soundbar Samsung HW-B450 je vybaven vyladěnými stereo reproduktory a poměrně masivním subwooferem, díky čemuž vás soustav obklopí plným rozsahem zvuku. Soundbar Samsung HW-B450 můžete připojit bezdrátově k televizoru, notebooku či mobilnímu zařízení přes integrované Bluetooth rozhraní a okamžitě ho používat bez složité instalace.;https://www.alza.cz/samsung-hw-b450-d7130499.htm
Damaškové povlečení ve světle krémové barvě;https://www.matejovsky-povleceni.cz/images/products/base/povleceni-vicoria-beige-mpkm.jpg;Nestárnoucí klasika, čistá linie a elegantní design. Tato synonyma vystihují žakárové damaškové povlečení VICTORIA s decentním florálním vzorem. Sofistikovaný odstín světle béžové s jemným nádechem krémové. bílé i barvy champagne, jejichž tóny se zlehka mění podle důmyslné hry dopadajícího světla, nechá vyniknout toto luxusní povlečení ve vaší ložnici.;https://www.matejovsky-povleceni.cz/povleceni-vicoria-beige.html
Stolní lampa Tiffany;https://lahome.cz/17740-large_default/stolni-lampa-tiffany-dark-dragonfly-o-4264-cm.jpg;Krásná ručně vyrobená Tiffany lampa s motivem tmavých vážek bude krásným a váženým doplňkem u vás doma. Tato lampa Vás uchvátí svou krásou po rozsvícení. Rozsvítit můžete jednu stranu zvlášt nebo obě najednou klasickými tahacími řetízky.;https://lahome.cz/13774-stolni-lampa-tiffany-dark-dragonfly-o-4264-cm-8717459237803.html
Rychlovarná konvice Philips s regulací teploty;https://cdn.alza.cz/ImgW.ashx?fd=f4&cd=PHIRK362&i=1.jpg;Rychlovarná konvice Philips Avance Collection v elegantním nerezovém provedení umožňuje nastavit teplotu ohřevu pomocí přednastavených tlačítek na otočné základně. Umožní tak rychlý ohřev vody s optimální teplotou pro přípravu různých nápojů a pokrmů. Konvice je vybavena praktickou funkcí Keep Warm, která udržuje stálou teplotu vody, takže ji nemusíte znovu ohřívat.;https://www.alza.cz/philips-hd9359-90-avance-collection-d5460002.htm?kampan=adwalz_alza_pla_all_alza-days_alza-days_c_1029206__PHIRK362&gclid=CjwKCAiAxvGfBhB-EiwAMPakqi3oXzi4EoMyHl7YMmPr5_nKEPnWPl2iAfeyxP3N7qucFHXaguHHXRoCJ4MQAvD_BwE
